"StkCodiceFornitore"|"StkRagSocFornitore"|"StkAnaArtCodice"|"StkAnaArtDescrizione"|"StkQuantitaTotale"|"StkQuantitaImpegnata"|"StkQuantitaDisponibile"
"00002"|"ROCKETBABY"|"RB3A009314"|"ROCKETBABY-RBP15100303-Cesto per Passeggino Riccio"|"0000000007"|"0000000000"|"0000000007"
"00002"|"ROCKETBABY"|"RB3A009769"|"HOBEA-4260329474951-Vestitino Cerimonia Katharina 36-42 Mesi"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A009791"|"HOBEA-4260329475279-Babbucce Cerimonia con Fiocchetto di Raso 6-12 Mesi"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A009792"|"HOBEA-4260329475286-Babbucce Cerimonia con Fiocchetto di Raso 12-18 Mesi"|"0000000002"|"0000000000"|"0000000002"
"00002"|"ROCKETBABY"|"RB3A009820"|"FCTRY-GLSTA24-Occhiali da Sole Baby Azzurri 0-2 anni"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A009822"|"FCTRY-GLSTA26-Occhiali Trasparenti Baby Neri 0-2 anni"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A009823"|"FCTRY-GLSTA27-Occhiali Trasparenti Baby Bianchi 0-2 anni"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A009833"|"ELODIE DETAILS-103287-Guantini Zebra Sunshine"|"0000000002"|"0000000000"|"0000000002"
"00002"|"ROCKETBABY"|"RB3A009836"|"ELODIE DETAILS-103209-Biberon 250 ml Angioletto"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A009878"|"TOODEEZ-TODE04-Scatolina per Denti da Latte Cane"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A009880"|"BABY BITES-TOAL-AZUL-Accappatoio Pesce Blu"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A009912"|"A LITTLE LOVELY COMPANY-LTPP010-Lampada Mini Pera Rosa"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A009995"|"CHILDHOME-CCCB29MW-Cesto Contenitore Stella Menta 32x32x29"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A010006"|"CHILDHOME-CCFTBRMB-Borsone Portagiochi Round Grigia e Menta"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A010043"|"DUUX-DUATP03-Olio Essenziale alla Citronella per Purificatore d'Aria"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A010046"|"DUUX-DUATH01-Olio Essenziale alla Lavanda per Umidificatore"|"0000000003"|"0000000000"|"0000000003"
"00002"|"ROCKETBABY"|"RB3A010050"|"CHILDHOME-CHTRRL-Trolley Giallo Procione"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A010084"|"CHILDHOME-CCASCJM-Cuscinetto Universale Angioletto Navy"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A010098"|"ELODIE DETAILS-103037-Ciuccio Bedouin Stories"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A010110"|"ELODIE DETAILS-103643-Borsa Shopper Graphic Grace"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A010116"|"ELODIE DETAILS-103760-Copripasseggino Colori del Vento"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A010125"|"ELODIE DETAILS-103343-Cappellino in Cotone Vanilla White 0-6 mesi"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A010160"|"CHILDHOME-CCCOTWHPMB-Coprifasciatoio Azzurro"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A010168"|"CHILDHOME-CHBBHG-Supporto per Bagnetto Bianco e Verde"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A010169"|"CHILDHOME-CHBBHS-Supporto per Bagnetto Argento e Bianco"|"0000000002"|"0000000000"|"0000000002"
"00002"|"ROCKETBABY"|"RB3A010283"|"TECNODIDATTICA-8007239013810-Mappamondo Orion 25 cm + Dizionario Illustrato Italiano"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A010295"|"ELODIE DETAILS-12918S-Biberon 125 ml Retro Revolution"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A010331"|"ELODIE DETAILS-103305-Copertina Waffle Gilded Powder"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A010360"|"WILD AND SOFT-WS 0027-Billy il Cervo"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A010496"|"KUK-FF164-12-Pigiama con piedini Fiori Grigio 6-12 mesi"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A010943"|"KUK-MS003-Occhiali da Sole Minisquids Blu"|"0000000002"|"0000000000"|"0000000002"
"00002"|"ROCKETBABY"|"RB3A010946"|"KUK-MS006-Occhiali da Sole Minisquids Argento"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A011010"|"STUDIO ROOF-CAS3-Casetta Gioco Cabana Deco XXL"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A011060"|"BABY BITES-CUBR ROSA S-Culotte Double Face Baby Rosa e Bianche S"|"0000000003"|"0000000000"|"0000000003"
"00002"|"ROCKETBABY"|"RB3A011135"|"ROCKETBABY-RBP16304-Cesto Contenitore ZigZag Giallo"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A011136"|"ROCKETBABY-RBP16305-Cesto Contenitore ZigZag Rosso"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A011137"|"ROCKETBABY-RBP16306-Cesto Contenitore ZigZag Verde"|"0000000003"|"0000000000"|"0000000003"
"00002"|"ROCKETBABY"|"RB3A011211"|"LIMOBASICS-22525R_SMO_74-80-Tutina a strisce Verde 74 80 cm"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A011250"|"SUPERGA-S001FJ0 P34 19-Sneaker Bambino/a Rosso Azalea 19"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A011266"|"JULICA-100714-Poster Luminoso Piccolo Lupo"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A011304"|"KANGA CARE-KC-KRRUMPSOS-P116-Pannolino Rumparooz Bonnie"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A011315"|"KANGA CARE-KC-KRWETB_OS-S029-Wet Bag Portapannolini Dandelion"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A011586"|"LASSIG-LSFSUSU702-00-OCCHIALI DA SPIAGGIA PEACH"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A011633"|"BIG MOUTH-BMPFWA-Ciambellone gonfiabile XXL Anguria"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012089"|"YOSI SAMRA-KSC-204-614-MISTY ROSE/MISTY ROSE-Ballerine Bambina Mettalic Pink 30"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012312"|"ZOLI-ZL-BF14WBB018-PIP 530ml Water Bottle blu"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012347"|"CUPCAKE BABIES-VDBB05-Cappello Anti Schiuma Blu"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012353"|"CUPCAKE BABIES-CCBBF01-Set Baby Bath 2 in 1 Fucsia"|"0000000003"|"0000000000"|"0000000003"
"00002"|"ROCKETBABY"|"RB3A012354"|"CUPCAKE BABIES-CCBBW03-Set Baby Bath 2 in 1 Bianco"|"0000000002"|"0000000000"|"0000000002"
"00002"|"ROCKETBABY"|"RB3A012355"|"CUPCAKE BABIES-CCBBT02-Set Baby Bath 2 in 1 Turchese"|"0000000006"|"0000000000"|"0000000006"
"00002"|"ROCKETBABY"|"RB3A012390"|"ZOLI-ZL-BF14MSB001-MASH Kit ciotola con cucchiaio Blu"|"0000000002"|"0000000000"|"0000000002"
"00002"|"ROCKETBABY"|"RB3A012393"|"ZOLI-ZL-BF10PP0301-SUMO Snack Dispenser tre colori"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012431"|"LOVE LASTIC-B111-Love Lastic Classic"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012438"|"AFFENZAHN-AFZ-FAL-001-009-Zaino Kid Zena Zebra"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012445"|"AFFENZAHN-AFZ-FAS-001-005-Zaino Baby Emil Elephant"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012453"|"AFFENZAHN-AFZ-FAS-001-010-Zaino Baby Henni Rabbit"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012477"|"GUMIGEM-5060322974675-Collana Dentizione Frutti di bosco"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012482"|"ZOLI-ZL-BC15CGGO02-Chubby Gummy verde e arancione"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012483"|"ZOLI-ZL-BC15CGPW02-Chubby Gummy rosa e bianco"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012497"|"BLOOMINGVILLE-47305093-Posatine Toby"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012551"|"ROCKETBABY-RBP16340-Cappellino SnapBack Kid Rosso"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012553"|"ROCKETBABY-RBP16342-Cappellino SnapBack Kid Blu"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012563"|"ELODIE DETAILS-103366-Cappellino Gilded Grey 2-3 anni"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012570"|"LAPIN e ME-WD.G2-GREY Woodland Doll"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012580"|"LAPIN e ME-WD.WG1-SNOW BABY GREY"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012602"|"ROCKETBABY-RBP16312-Lampada Stella Blu"|"0000000024"|"0000000000"|"0000000024"
"00002"|"ROCKETBABY"|"RB3A012603"|"ROCKETBABY-RBP16313-Lampada Hashtag Bianco"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012604"|"ROCKETBABY-RBP16314-Lampada Hashtag Nero"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012605"|"ROCKETBABY-RBP16315-Lampada And Bianco"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012606"|"ROCKETBABY-RBP16316-Lampada And Nero"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012611"|"ROCKETBABY-RBP16321-Lampada Albero Natale Bianco"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012612"|"ROCKETBABY-RBP16322-Lampada Freccia Nera"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012613"|"ROCKETBABY-RBP16323-Lampada Freccia Bianca"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012614"|"ROCKETBABY-RBP16324-Lampada Freccia Rossa"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012615"|"ROCKETBABY-RBP16325-Lampada Cuore Rosa"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012641"|"BOXBO-BK-05-Stivali in Gomma Kawai Rosa 21-22"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012642"|"BOXBO-BK-05-Stivali in Gomma Kawai Rosa 23-24"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012657"|"BOXBO-BW-08-Stivali in Gomma Wistiti Bianchi 24"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012784"|"HOLLY e BEAU-HBCUPMAC3-Impermeabile cambiacolori Cupcake 3-4 anni"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012788"|"HOLLY e BEAU-HBHORSEMAC2-Impermeabile cambiacolori Cavalli 2 anni"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012791"|"HOLLY e BEAU-HBHORSEMAC7-Impermeabile cambiacolori Cavalli 7-8 anni"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012833"|"BROTHER MAX-71329PG2-Porta snack impugnatura facile rosa e verde"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012841"|"BROTHER MAX-70506PK2-Lucina notturna coniglietto"|"0000000002"|"0000000000"|"0000000002"
"00002"|"ROCKETBABY"|"RB3A012842"|"BUDDY AND BEAR-BBTW001-Piattino Mangia Gioca Ama"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012844"|"BUDDY AND BEAR-BBTW003-Piattino Coniglietto"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012847"|"BUDDY AND BEAR-BBTW010-Piattino Nuvola nero"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012850"|"BUDDY AND BEAR-BBTW027-Piattino Cena nero"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012856"|"BUDDY AND BEAR-BBTW025-Bicchierino numeri nero"|"0000000004"|"0000000000"|"0000000004"
"00002"|"ROCKETBABY"|"RB3A012947"|"HAPPY HOPPERZ-HHZ03-Gonfiabile Cavalcabile Small Cane Blu"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012949"|"HAPPY HOPPERZ-HHZ06-Gonfiabile Cavalcabile Medium Cavallo Rosa"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A012951"|"HAPPY HOPPERZ-HHZ20-Gonfiabile Cavalcabile Medium Toro Bianco"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013159"|"BAMBOOM-104-027-026-CHANGING MAT COVER NEW VINTAGE 50x70cm GRIGIO E BIANCO-0"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013176"|"BAMBOOM-104-048-031-COCOON wrap blanket NEW VINTAGE BIANCO-0"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013393"|"HOBEA-4057257002055-Stivaletti di pelo Blu 6-12 mesi"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013396"|"HOBEA-4057257002086-Stivaletti di pelo Blu 24-30 mesi"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013409"|"HOBEA-4057257002246-Stivaletti di pelo Rosa 12-18 mesi"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013416"|"HOBEA-4057257002024-Stivaletti di pelo Marroni 24-30 mesi"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013431"|"ELODIE DETAILS-103511-Sacco Passeggino Woodland Green"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013436"|"ELODIE DETAILS-103616-Borsa Fasciatoio Forest Flora"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013447"|"ELODIE DETAILS-103489-Cappellino DOT 6-12m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013448"|"ELODIE DETAILS-103490-Cappellino DOT 12-24m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013450"|"ELODIE DETAILS-103492-Cappellino Chestnut Leather 0-6m"|"0000000002"|"0000000000"|"0000000002"
"00002"|"ROCKETBABY"|"RB3A013452"|"ELODIE DETAILS-103494-Cappellino Chestnut Leather 12-24m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013458"|"ELODIE DETAILS-103355-Cappellino Gilded Petrol 0-6m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013464"|"ELODIE DETAILS-103361-Cappellino Gilded Pink 12-24m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013496"|"BLADEeROSE-5060257464616-Bobble Hat Black Double 6-12m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013510"|"BLADEeROSE-5060257462445-Socks Blue whale 6-12m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013549"|"BLADEeROSE-5060257464456-Socks Boys Star  6-12m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013553"|"BLADEeROSE-5060257464579-Bobble Hat Brown Double 6-12m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013557"|"BLADEeROSE-5060257461431-Bobble Hat Chunky Navy Bobbie 6-12m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013558"|"BLADEeROSE-5060257461448-Bobble Hat Chunky Navy Bobbie 1-2y"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013571"|"BLADEeROSE-5060257465750-Leggings Crazy Cat 0-6m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013636"|"BLADEeROSE-5060257466382-Socks Emerlad Green (Oheo Owl) 6-12m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013645"|"BLADEeROSE-5060257461943-Leggings Fire engine 2-3y"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013657"|"BLADEeROSE-5060257461356-Leggings Girls Star 0-6m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013680"|"BLADEeROSE-5060257466948-Top Hedgehog 9-12m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013698"|"BLADEeROSE-5060257464494-Socks HRH  6-12m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013704"|"BLADEeROSE-5060257465200-Top Katie Kitten  12-18m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013708"|"BLADEeROSE-5060257461684-Leggings Katie Kitten  0-6m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013774"|"BLADEeROSE-5060257466153-Leggings Pineapple 0-6m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013796"|"BLADEeROSE-5060257462063-Leggings Pink whale 0-6m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013848"|"BLADEeROSE-5060257462360-Socks Fire engine 6-12m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013873"|"BLADEeROSE-5060257466078-Leggings Robin 1-2y"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013904"|"BLADEeROSE-5060257465583-Leggings Rudolf  3-4y"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013948"|"BLADEeROSE-5060257462889-Socks Strawberry 6-12m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013967"|"BLADEeROSE-5060257463558-Tights Girls jeans 0-6m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013985"|"BLADEeROSE-5060257461752-Leggings T-rex 6-12m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A013997"|"BLADEeROSE-5060257465736-Leggings Usa Flag 2-3y"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A014000"|"BLADEeROSE-5060257460953-Leggings Christmas Pudding 0-6m"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A014024"|"NIKE-454478-PICO 4 (TDV) ROSA 6C-EU22"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A014026"|"NIKE-454478-PICO 4 (TDV) ROSA 7C-EU23.5"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A014028"|"NIKE-454478-PICO 4 (TDV) ROSA 8C-EU25"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A014030"|"NIKE-454478-PICO 4 (TDV) ROSA 9C-EU26"|"0000000003"|"0000000000"|"0000000003"
"00002"|"ROCKETBABY"|"RB3A014092"|"NIKE-454501-PICO 4 (TDV) NERA 2C-EU17"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A014100"|"NIKE-454501-PICO 4 (TDV) NERA 6C-EU22"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A014104"|"NIKE-454501-PICO 4 (TDV) NERA 8C-EU25"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A014130"|"NIKE-654289-NIKE AIR MAX ST (TDV) 2C-EU17"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A014275"|"TWISTSHAKE-78033-Biberon Anticolica 330ml Pesca"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A014283"|"TWISTSHAKE-78023-Dispenser 2x 100ml Rosa"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A014315"|"LIMOBASICS-50769R_DEN_74-80-Giubottino Denim 74-80"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A014353"|"LA PETITE BLOSSOM-162006-Jumper Fifi 5 anni"|"0000000001"|"0000000000"|"0000000001"
"00002"|"ROCKETBABY"|"RB3A014354"|"LA PETITE BLOSSOM-162006-Jumper Fifi 6 anni"|"0000000002"|"0000000000"|"0000000002"
